0,bathroom_cabinet_0,"{'user': 'Human', 'text': 'Hey Zara!', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Hi Michael!', 'intent': 'Extend_greetings'}"
0,bathroom_cabinet_0,"{'user': 'Alien', 'text': 'Hi Michael!', 'intent': 'Extend_greetings'}","{'user': 'Human', 'text': 'Are you ready to get started to clean the bathroom?', 'intent': 'Ask_get_started'}"
0,bathroom_cabinet_0,"{'user': 'Human', 'text': 'Are you ready to get started to clean the bathroom?', 'intent': 'Ask_get_started'}","{'user': 'Alien', 'text': ""Yes! Let's get some towels on to the cabinet"", 'intent': 'Yes-no_positive'}"
0,bathroom_cabinet_0,"{'user': 'Alien', 'text': ""Yes! Let's get some towels on to the cabinet"", 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': ""Okay, let's head to the bathroom then,"", 'intent': 'Inform_location'}"
1,bathroom_cabinet_0,"{'user': 'Human', 'text': ""Okay, let's head to the bathroom then,"", 'intent': 'Inform_location'}","{'user': 'Human', 'text': 'Do you know what to do next?', 'intent': 'Ask_know_next_step'}"
0,bathroom_cabinet_0,"{'user': 'Human', 'text': 'Do you know what to do next?', 'intent': 'Ask_know_next_step'}","{'user': 'Alien', 'text': ""Yes, I'll open the cabinets door first"", 'intent': 'Yes-no_positive'}"
0,bathroom_cabinet_0,"{'user': 'Alien', 'text': ""Yes, I'll open the cabinets door first"", 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': 'Wow, Zara, that elasticity is not good for your back.', 'intent': 'Casual_observation'}"
1,bathroom_cabinet_0,"{'user': 'Human', 'text': 'Wow, Zara, that elasticity is not good for your back.', 'intent': 'Casual_observation'}","{'user': 'Alien', 'text': 'The towels are the these white fluffy sheets right?', 'intent': 'Ask_about_object'}"
0,bathroom_cabinet_0,"{'user': 'Alien', 'text': 'The towels are the these white fluffy sheets right?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': 'Correct!', 'intent': 'Yes-no_positive'}"
1,bathroom_cabinet_0,"{'user': 'Human', 'text': 'Correct!', 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': ""Okay, then I'm just going to grab one of them right now"", 'intent': 'Inform_observation'}"
0,bathroom_cabinet_0,"{'user': 'Alien', 'text': ""Okay, then I'm just going to grab one of them right now"", 'intent': 'Inform_observation'}","{'user': 'Human', 'text': 'How are you doing Zara?', 'intent': 'Ask_okay'}"
