,0,1,2
0,0.0,"Good morning , sir . Is there a bank near here ? ",  There is one . 5 blocks away from here ? 
1,1.0,  There is one . 5 blocks away from here ? ,"  Well , thats too far.Can you change some money for me ? "
2,0.0,"  Well , thats too far.Can you change some money for me ? ","  Surely , of course . What kind of currency have you got ?   RIB . "
3,0.0,"  Surely , of course . What kind of currency have you got ?   RIB . ",  How much would you like to change ?   1000 Yuan.Here you are . 
4,1.0,  How much would you like to change ?   1000 Yuan.Here you are . ,"Good afternoon . This is Michelle Li speaking , calling on behalf of IBA . Is Mr Meng available at all ? "
5,0.0,"Good afternoon . This is Michelle Li speaking , calling on behalf of IBA . Is Mr Meng available at all ? ","  This is Mr Meng speaking , Michelle . "
6,1.0,"  This is Mr Meng speaking , Michelle . ","  Oh , hello ! Sorry about that . Im just calling to say that weve received your new Corporate Credit Card from HQ . "
7,1.0,"  Oh , hello ! Sorry about that . Im just calling to say that weve received your new Corporate Credit Card from HQ . ",  That was quick ! I wasnt expecting it until later this week . 
8,1.0,  That was quick ! I wasnt expecting it until later this week . ,"  Yes , our application procedures have speeded up since we started using the new fast-track system . "
9,1.0,"  Yes , our application procedures have speeded up since we started using the new fast-track system . ",  Shall I come in and collect it ? 
10,0.0,  Shall I come in and collect it ? ,"  Or we can send it to you . But if you would like to use it at the ATM , youll need to wait for your PIN number . "
11,1.0,"  Or we can send it to you . But if you would like to use it at the ATM , youll need to wait for your PIN number . ","  Mmmm ... if I come in and collect it this afternoon , is there any way I could use it today ? Petty cash is getting low , so I need to draw some money . "
12,0.0,"  Mmmm ... if I come in and collect it this afternoon , is there any way I could use it today ? Petty cash is getting low , so I need to draw some money . ","  As long as you bring your ID , etc , we can serve you over the counter . But you wont be able to use the ATM until your new PIN number arrives . "
13,0.0,"  As long as you bring your ID , etc , we can serve you over the counter . But you wont be able to use the ATM until your new PIN number arrives . ","  I see . Yes , thats fine . Ill be there at around 2:30 pm . See you later , and thanks . "
14,1.0,"  I see . Yes , thats fine . Ill be there at around 2:30 pm . See you later , and thanks . ",What qualifications should a reporter have ? 
15,0.0,What qualifications should a reporter have ? ,"  As a reporter , he must have acute insight and language skills . At the same time , he must have good judgment , the respect for his job and tactical cooperation with others . "
16,1.0,"  As a reporter , he must have acute insight and language skills . At the same time , he must have good judgment , the respect for his job and tactical cooperation with others . ","  Can you work under pressure ? You know , people working here are all busy everyday since were daily newspaper . "
17,0.0,"  Can you work under pressure ? You know , people working here are all busy everyday since were daily newspaper . ",  I think Ive got used to work under pressure . I will adjust myself to the step of your newspaper quickly . 
18,1.0,  I think Ive got used to work under pressure . I will adjust myself to the step of your newspaper quickly . ,"Hi , good morning , Miss ? what can I help you with ? "
19,0.0,"Hi , good morning , Miss ? what can I help you with ? ",  Good morning Id like to mail this box of books to Taiwan . 
20,0.0,  Good morning Id like to mail this box of books to Taiwan . ,"  OK , please put it on this scale.Airmail or by sea ? "
21,1.0,"  OK , please put it on this scale.Airmail or by sea ? ",  How long does it take to reach Taiwan by sea ? 
22,0.0,  How long does it take to reach Taiwan by sea ? ,  Usually about two month . 
23,0.0,  Usually about two month . ,  Thats too long.How long does it take to reach Taiwan by airmail ? 
24,1.0,  Thats too long.How long does it take to reach Taiwan by airmail ? ,  About ten days .   Then how much is that by airmail ? 
25,0.0,  About ten days .   Then how much is that by airmail ? ,"  Let me see.It  s 57 dollars , 20 cents , including tax . "
26,0.0,"  Let me see.It  s 57 dollars , 20 cents , including tax . ",  Thats a little bit expensive . 
27,0.0,  Thats a little bit expensive . ,"  Although its expensive to send it by airmail , its quicker and safer than by sea . "
28,1.0,"  Although its expensive to send it by airmail , its quicker and safer than by sea . ",  I guess I have to send it by airmail . 
29,1.0,  I guess I have to send it by airmail . ,"  Do you want to ensure the contents , Miss ?   Yes , please . "
30,0.0,"  Do you want to ensure the contents , Miss ?   Yes , please . ","  Please fill out this form , also please write the value of the items in this space . "
31,0.0,"  Please fill out this form , also please write the value of the items in this space . ",  OK . 
32,0.0,  OK . ,"Excuse me , maam . Can you tell me where the nearest postoffice is ? "
33,0.0,"Excuse me , maam . Can you tell me where the nearest postoffice is ? ","  Of course . Go straight ahead . Turn right at the next street . Youll see a tall , yellow building.The post office is on the first floor . "
34,0.0,"  Of course . Go straight ahead . Turn right at the next street . Youll see a tall , yellow building.The post office is on the first floor . ","  Do you mean that I go that way for one block , then turn right ? "
